Products,Reactant,Sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diisopropanolamine,propylene oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heptanoic acid,n-heptanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-bromohexane,1-hexene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,5-pentanediol",hydrogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimethoxon,methyl isocyanate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-dimethylaminopyridine,dimethyl amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diethyl succinate,succinic acid,"for diethyl succinate, the carboxylic acid involved is succinic acid, or butanedioic acid, which is a dicarboxyllic acid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,4-pentanedione",isopropenyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
octanoic acid,octanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma-valerolactone,levulinic acid,"the resulting glucose can then be dehydrated via hydroxymethylfurfural to yield formic acid and levulinic acid, which can then be hydrogenated to gamma-hydroxypentanoic acid, which readily cyclises to gamma-valerolactone, which has potential applications as a liquid fuel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lithium chloride,lithium carbonate,"as with any other ionic chloride, solutions of lithium chloride can serve as a source of chloride ion, e.g., forming a precipitate upon treatment with silver nitrate:
licl + agno3 ??? agcl + lino3


== preparation ==
lithium chloride is produced by treatment of lithium carbonate with hydrochloric acid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylene dichloride,hydrogen chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyltrichlorosilane,chloromethane,"== preparation ==
methyltrichlorosilane results from the direct process of chloromethane with elemental silicon in the presence of a copper catalyst, usually at a temperature of at least 250 ??c.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manganese carbonate,manganese sulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetaldehyde,ethylene,"united states food and drug administration (fda) information for acetaldehyde
acetaldehyde production process flow sheet by ethylene oxidation method",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propylene carbonate,propylene oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-cresol,phenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3,5-trimethylbenzene",xylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3,5-trichlorobenzene","3,5-dichloroaniline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-decanol,decanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dodecanol,lauric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraethylene glycol,diethylene glycol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-hydroxyquinoline,2-aminophenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hexafluorosilicic acid,silicon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trimethylsilyl chloride,chloromethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammonia,hydrogen,ammonia or azane is a compound of nitrogen and hydrogen with the formula nh3.,"ignition occurs when chlorine is passed into ammonia, forming nitrogen and hydrogen chloride; if chlorine is present in excess, then the highly explosive nitrogen trichloride (ncl3) is also formed.","the molecule's polarity and, especially, its ability to form hydrogen bonds, makes ammonia highly miscible with water.",perfectly dry ammonia will not combine with perfectly dry hydrogen chloride; moisture is necessary to bring about the reaction.,"an excess of ammonia helps minimise multiple substitution, and neutralises the hydrogen halide formed.","acyl chlorides are the most reactive, but the ammonia must be present in at least a twofold excess to neutralise the hydrogen chloride formed.","the hydrogen in ammonia is capable of replacement by metals, thus magnesium burns in the gas with the formation of magnesium nitride mg3n2, and when the gas is passed over heated sodium or potassium, sodamide, nanh2, and potassamide, knh2, are formed.","this crystalline solid is only stable under high pressure, and decomposes back into trivalent ammonia and hydrogen gas at normal conditions.","prior to the availability of natural gas, hydrogen as a precursor to ammonia production was produced via the electrolysis of water or using the chloralkali process.","ammonia is also used to make the following compounds:
hydrazine, in the olin raschig process and the peroxide process
hydrogen cyanide, in the bma process and the andrussow process
hydroxylamine and ammonium carbonate, in the raschig process
phenol, in the raschig?€?hooker process
urea, in the bosch?€?meiser urea process and in w??hler synthesis
amino acids, using strecker amino-acid synthesis
acrylonitrile, in the sohio process
ammonia can also be used to make compounds in reactions which are not specifically named.","compared to hydrogen as a fuel, ammonia is much more energy efficient, and it would be a much lower cost to produce, store, and deliver hydrogen as ammonia than as compressed and/or cryogenic hydrogen.","the conversion of ammonia to hydrogen via the sodium-amide process, either as a catalyst for combustion or as fuel for a proton exchange membrane fuel cell, is another possibility.","==== lifting gas ====
at standard temperature and pressure, ammonia is less dense than atmosphere, and has approximately 60% of the lifting power of hydrogen or helium.","because of its relatively high boiling point (compared to helium and hydrogen), ammonia could potentially be refrigerated and liquefied aboard an airship to reduce lift and add ballast (and returned to a gas to add lift and reduce ballast).","before the start of world war i, most ammonia was obtained by the dry distillation of nitrogenous vegetable and animal waste products, including camel dung, where it was distilled by the reduction of nitrous acid and nitrites with hydrogen; in addition, it was produced by the distillation of coal, and also by the decomposition of ammonium salts by alkaline hydroxides such as quicklime, the salt most generally used being the chloride (sal ammoniac) thus:
2 nh4cl + 2 cao ??? cacl2 + ca(oh)2 + 2 nh3
hydrogen for ammonia synthesis could also be produced economically by using the water gas reaction followed by the water gas shift reaction, produced by passing steam through red-hot coke, to give a mixture of hydrogen and carbon dioxide gases, followed by removal of the carbon dioxide ""washing"" the gas mixture with water under pressure (25 standard atmospheres (2,500 kpa)); or by using other sources like coal or coke gasification.","modern ammonia-producing plants depend on industrial hydrogen production to react with atmospheric nitrogen using a magnetite catalyst or over a promoted fe catalyst under high pressure (100 standard atmospheres (10,000 kpa)) and temperature (450 ??c) to form anhydrous liquid ammonia.","this step is known as the ammonia synthesis loop (also referred to as the haber?€?bosch process):
3 h2 + n2 ??? 2 nh3
hydrogen required for ammonia synthesis could also be produced economically using other sources like coal or coke gasification or less economically from the electrolysis of water into oxygen + hydrogen and other alternatives that are presently impractical for large scale.","conversion of such wastes into ammonia solves the problem of hydrogen storage, as hydrogen can be released economically from ammonia on-demand, without the need for high-pressure or cryogenic storage.","it is also easier to store ammonia on board vehicles than to store hydrogen, as ammonia is less flammable than petrol or lpg.","ammonia may itself diffuse across the renal tubules, combine with a hydrogen ion, and thus allow for further acid excretion.","== in astronomy ==

ammonia has been detected in the atmospheres of the gas giant planets, including jupiter, along with other gases like methane, hydrogen, and helium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trimethylsilyl cyanide,trimethylsilyl chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bisphenol a,phenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,4-dichloroaniline","3,4-dichloronitrobenzene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epichlorohydrin,allyl chloride,"epichlorohydrin is manufactured from allyl chloride in two steps, beginning with the addition of hypochlorous acid, which affords a mixture of two alcohols:
ch2=chch2cl + hocl ??? hoch2chclch2cl and, or clch2ch(oh)ch2cl
in the second step, this mixture is treated with base to give the epoxide:

in this way, more than 800,000 tons (1997) of epichlorohydrin are produced annually.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromocyclohexane,cyclohexane,"== synthesis ==
bromocyclohexane can be prepared by the free radical substitution of bromine to the cyclohexane ring at high temperatures or in presence of electromagnetic radiation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-chloropyridine,pyridine n-oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium chloroacetate,chloroacetic acid,sodium chloroacetate is the sodium salt of chloroacetic acid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzene,toluene,"as its toxicity became obvious, benzene was supplanted by other solvents, especially toluene (methylbenzene), which has similar physical properties but is not as carcinogenic.","examples of simple benzene derivatives are phenol, toluene, and aniline, abbreviated phoh, phme, and phnh2, respectively.","== production ==
four chemical processes contribute to industrial benzene production: catalytic reforming, toluene hydrodealkylation, toluene disproportionation, and steam cracking.","recovery of the aromatics, commonly referred to as btx (benzene, toluene and xylene isomers), involves such extraction and distillation steps.","=== toluene hydrodealkylation ===
toluene hydrodealkylation converts toluene to benzene.","under these conditions, toluene undergoes dealkylation to benzene and methane:
c6h5ch3 + h2 ??? c6h6 + ch4
this irreversible reaction is accompanied by an equilibrium side reaction that produces biphenyl (aka diphenyl) at higher temperature:
2 c
6h
6 ??? h
2 + c
6h
5?€?c
6h
5
if the raw material stream contains much non-aromatic components (paraffins or naphthenes), those are likely decomposed to lower hydrocarbons such as methane, which increases the consumption of hydrogen.","this is often called ""on-purpose"" methodology to produce benzene, compared to conventional btx (benzene-toluene-xylene) extraction processes.","=== toluene disproportionation ===
where a chemical complex has similar demands for both benzene and xylene, then toluene disproportionation (tdp) may be an attractive alternative to the toluene hydrodealkylation.","in the broad sense, 2 toluene molecules are reacted and the methyl groups rearranged from one toluene molecule to the other, yielding one benzene molecule and one xylene molecule.","pyrolysis gasoline can be blended with other hydrocarbons as a gasoline additive, or routed through an extraction process to recover btx aromatics (benzene, toluene and xylenes).","toluene is now often used as a substitute for benzene, for instance as a fuel additive.",toluene is also processed into benzene.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen iodide,iodine,"== properties of hydrogen iodide ==
hi is a colorless gas that reacts with oxygen to give water and iodine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrylonitrile,propylene,"== production ==
acrylonitrile is produced by catalytic ammoxidation of propylene, also known as the sohio process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetic anhydride,acetic acid,"to a decreasing extent, acetic anhydride is also prepared by the reaction of ketene (ethenone) with acetic acid at 45?€?55 ??c and low pressure (0.05?€?0.2 bar).","h2c=c=o + ch3cooh ??? (ch3co)2o (??h = ???63 kj/mol)
the route from acetic acid to acetic anhydride via ketene was developed by wacker chemie in 1922, when the demand for acetic anhydride increased due to the production of cellulose acetate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyanuric acid,urea,"deprotonation with base affords a series of cyanurate salts:
[c(o)nh]3 ??? [c(o)nh]2[c(o)n]??? + h+ (pka = 6.88)
[c(o)nh]2[c(o)n]??? ??? [c(o)nh][c(o)n]22??? + h+ (pka = 11.40)
[c(o)nh][c(o)n]22??? ??? [c(o)n]33??? + h+ (pka = 13.5)


=== synthesis ===
cyanuric acid (cya) was first synthesized by friedrich w??hler in 1829 by the thermal decomposition of urea and uric acid.","for example, archer daniels midland manufactures an npn supplement for cattle, which contains biuret, triuret, cyanuric acid and urea.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraethyl pyrophosphate,triethyl phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tebuconazole,2-tert-butyl-2-(4-chlorophenethyl) oxirane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crotonic acid,crotonaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-dimethylaminoethanol,dimethylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-nitropropane,nitric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diisopropylamine,isopropyl alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
succinic anhydride,maleic anhydride,"industrially, succinic anhydride is prepared by catalytic hydrogenation of maleic anhydride.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propoxur,o-isopropoxyphenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrakis(hydroxymethyl)phosphonium chloride,formaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium cacodylate,chloromethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primidone,2-thiophenobarbital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sucrose acetate isobutyrate,sucrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methacrylonitrile,isobutene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyurea,sodium cyanate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclohexane,benzene,"== production ==


=== modern production ===
on an industrial scale, cyclohexane is produced by hydrogenation of benzene.",producers of cyclohexane accounts for approximately 11.4% of global demand for benzene.,"=== historical methods ===
unlike benzene, cyclohexane is not easily obtained from natural resources such as coal.","nlm hazardous substances databank ?€? cyclohexane
methanol discovered in space
calculation of vapor pressure, liquid density, dynamic liquid viscosity, surface tension of cyclohexane
cyclohexane production process flowsheet, benzene hydrogenation technique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glutaric acid,adipic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coumarin,carbonic acid bis (2-dichloromethyl-phenyl ester),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biphenyl,benzene,"== properties and occurrence ==
biphenyl is produced industrially as a byproduct of the dealkylation of toluene to produce benzene:
c6h5ch3 + c6h6 ??? c6h5???c6h5 + ch4
the other principal route is by the oxidative dehydrogenation of benzene:
2 c6h6 + ?€?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
furfural,xylose,"under the same conditions of heat and acid, xylose and other five carbon sugars undergo dehydration, losing three water molecules to become furfural:,
c5h10o5 ??? c5h4o2 + 3 h2o
for crop residue feedstocks, between 3% and 10% of the mass of the original plant matter can be recovered as furfural, depending on the type of feedstock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cumene,benzene,"== production ==

commercial production of cumene is by friedel?€?crafts alkylation of benzene with propylene.",cumene producers account for approximately 20% of the global demand for benzene.,"== see also ==
cumene process
pseudocumene


== references ==


== external links ==
national pollutant inventory - cumene fact sheet
cdc - niosh pocket guide to chemical hazards
cumene production from benzene and propylene using aluminum chloride catalys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,4-dichloronitrobenzene","1,2-dichlorobenzene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium cyanate,sodium carbonate,"== preparation ==
sodium cyanate can be prepared by the reaction between urea and sodium carbonate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
octanal,1-octanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-nonanol,1-octene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
